subject,level,true_time,min_time,coco_count,rmi
48498,7,150.8150634765625,1512.134033203125,282,0.23993522053496297
48501,3,151.92570114135742,53.39799880981445,293,0.46446261013628365
48501,9,155.07998657226563,205.43980407714844,312,0.4345856818401399
48501,6,105.64901733398438,360.5046081542969,213,0.3727922519487845
48501,1,165.64352416992188,466.168212890625,348,0.4547654479292106
48501,2,101.39898681640625,631.8134765625,219,0.49962361743326555
48501,7,132.62286376953125,733.1956787109375,285,0.37598166450542236
48501,8,110.2781982421875,865.83349609375,207,0.7027868467908617
48501,4,160.51373291015625,976.11279296875,265,0.44599905992328703
48501,10,157.178955078125,1136.625,346,0.31197704870721343
48501,5,138.10400390625,1293.7900390625,342,0.4233791714759292
48504,4,195.5827751159668,46.78023147583008,302,0.3052548719386452
48504,6,112.39938354492188,242.47959899902344,240,0.17365153420971102
48504,8,139.04891967773438,354.86279296875,236,0.38619390785939156
48504,7,132.26559448242188,493.9269104003906,277,0.2888387042706275
48504,5,165.71441650390625,626.19342041015625,345,0.25425766566761865
48504,1,176.0661621093751,791.8922119140625,343,0.33702004305850264
48504,2,113.84954833984364,967.97412109375,239,0.31117943000508097
48504,9,157.6319580078125,1081.822998046875,306,0.3149974651839148
48504,3,161.864013671875,1239.4549560546875,320,0.38819971349443927
48508,4,276.06878662109375,76.711700439453125,309,0.23185828272445308
48508,10,255.72103881835938,352.8807067871094,347,0.2330615262522051
48508,2,153.49066162109375,608.61712646484375,242,0.21340369726759056
48508,5,196.10552978515636,762.10821533203125,347,0.27491510281635834
48508,9,263.75225830078114,958.214111328125,288,0.33534160887490416
48508,7,181.5889892578125,1221.949951171875,272,0.20487031632649777
48508,6,245.9019775390625,1403.5550537109375,235,0.23672295938893706
48508,8,146.675048828125,1649.4580078125,217,0.3017041357213762
48508,1,213.85498046875,1796.135986328125,349,0.23038324875583194
48508,3,192.1910400390625,2009.9720458984375,305,0.2146225574594307
48511,4,333.3651657104492,70.9278335571289,275,0.5365427583594847
48511,2,169.69912719726563,404.40960693359375,232,0.8363459663194011
48511,8,213.64788818359375,574.1085205078125,271,0.5526495388428756
48511,1,212.4489746093749,787.74090576171875,349,0.942012901127721
48511,5,220.6660156250001,1000.2069702148438,349,0.818562029053374
48511,3,193.9990234375,1220.8719482421875,334,0.9606994960914996
48511,10,276.9320068359375,1414.8709716796875,348,0.7561404604176509
48511,6,141.699951171875,1691.802001953125,261,0.8734837994158364
48511,7,221.73193359375,2142.5,228,0.8584409325090732
48527,3,177.2269744873047,49.92433166503906,290,0.48980013252341104
48527,2,88.71600341796875,227.25929260253903,203,0.7938708189217423
48527,6,81.983001708984375,315.96728515625,206,0.7564368393782099
48527,9,157.11599731445313,397.9613037109375,253,0.7385803147448462
48527,5,195.865966796875,555.0662841796875,346,0.613682484251629
48527,10,177.70001220703136,750.95941162109375,346,0.5451811503015485
48527,4,185.69073486328114,928.63427734375,251,0.5441315794275012
48527,7,136.4990234375,1114.3289794921875,219,0.7145170148165519
48527,1,219.616943359375,1250.822021484375,348,0.5057933523872472
48532,7,139.77349472045896,45.27730178833008,162,0.04295825521955887
48532,2,120.45549011230472,185.16709899902344,123,0.14499061372499122
48532,4,200.94302368164063,305.6227111816406,194,0.30293986186426025
48532,3,155.74057006835938,506.5715026855469,166,0.06980302837284713
48532,8,116.7889404296875,662.3065185546875,139,0.26339121241134045
48532,5,142.48968505859375,779.09527587890625,267,0.4335870852111222
48532,9,151.156494140625,921.5684814453124,303,0.36112397714989597
48532,6,133.677001953125,1072.741943359375,185,0.48098275385732814
48532,10,195.342041015625,1206.4150390625,344,0.5276843573773494
48532,1,154.3909912109375,1401.7440185546875,343,0.38408096283144055
48538,1,209.5996856689453,61.43772888183594,346,0.2227833116835416
48538,8,172.83328247070313,271.2680969238281,228,0.25607311624391094
48538,7,172.14993286132813,443.9779968261719,299,0.17650990489777718
48538,2,175.091552734375,616.1287841796875,294,0.24127098650356782
48538,5,192.6246337890625,791.22027587890625,348,0.1776403057957343
48538,10,218.4991455078125,983.844970703125,346,0.3385523886381371
48538,3,189.4500732421875,1202.3370361328125,305,0.1604813003294394
48538,6,100.5830078125,1391.7860107421875,218,0.33771493271531294
48538,9,191.2919921875,1492.3690185546875,314,0.29192013908830927
48538,4,227.73095703125,1683.6689453125,321,0.2506959018289866
48540,5,159.94986724853518,68.36663055419922,346,0.21108952133830927
48540,9,205.66589355468747,228.4322967529297,292,0.31742063136541265
48540,6,96.399932861328125,434.0823974609375,223,0.39088736573953775
48540,1,184.93280029296875,530.498779296875,346,0.2601157189741612
48540,10,225.86639404296886,715.41522216796875,344,0.3215999289729231
48540,7,128.1984863281249,941.2979125976564,267,0.31821855933595355
48540,3,156.884033203125,1069.48095703125,287,0.4077334187068278
48540,2,112.9659423828125,1226.3800048828125,228,0.45392742286225285
48540,4,186.5999755859375,1339.3299560546875,268,0.28417284019562183
48540,8,117.7330322265625,1525.9300537109375,213,0.6364197917259616
48543,3,164.76066970825198,56.87083053588867,336,0.3121965739192287
48543,2,102.49999999999997,221.73159790039065,219,0.3876341145480392
48543,9,130.64981079101563,324.2478942871094,307,0.46843775199181015
48543,5,155.73309326171875,657.480712890625,348,0.25834854282403463
48543,4,151.81640625,813.21307373046875,335,0.3409687577774564
48543,1,79.150146484375,965.013916015625,169,0.1916803937202256
48545,7,167.56677246093753,77.93663024902344,294,0.18704100885002284
48545,8,148.4509124755859,245.60389709472656,223,0.4521611594981453
48545,9,250.15060424804688,394.0544128417969,300,0.3968534547276099
48545,6,89.41650390624989,644.22100830078125,218,0.5736268545397865
48545,1,206.28265380859398,733.63812255859375,350,0.21456038656898258
48545,5,181.8178710937499,939.905029296875,349,0.19256049245505125
48545,10,248.7010498046875,1121.738037109375,316,0.33854331161133966
48545,2,121.6319580078125,1370.43798828125,205,0.619366749241463
48545,3,194.5020751953125,1492.0560302734375,267,0.44138118533281046
