subject,level,obj_ID,point_value,x,y,new_x,new_y,time
48496,10,48,2,5,-15,5,-15,1533.7919921875
48496,10,42,2,5,-10,5,-10,1534.2340087890625
48496,10,39,2,7.5,-7.5,7.5,-7.5,1534.510009765625
48496,10,37,2,10,-5,10,-5,1534.81005859375
48496,10,35,2,10,-1.5,10,-1.5,1535.1939697265625
48496,10,36,2,5,-5,5,-5,1535.7509765625
48496,10,46,2,7.5,-12.5,7.5,-12.5,1536.5340576171875
48496,10,47,2,12.5,-12.5,12.5,-12.5,1537.074951171875
48496,10,44,2,15,-10,15,-10,1537.3509521484375
48496,10,45,2,18.5,-10,18.5,-10,1537.6529541015625
48496,10,38,2,15,-5,15,-5,1537.967041015625
48496,10,40,2,12.5,-7.5,12.5,-7.5,1538.133056640625
48496,10,43,2,10,-10,10,-10,1538.3919677734375
48496,10,49,2,10,-15,10,-15,1538.8330078125
48496,10,51,2,10,-18.5,10,-18.5,1539.1109619140625
48496,10,42,2,5,-10,5,-10,1541.3179931640625
48496,10,39,2,7.5,-7.5,7.5,-7.5,1541.592041015625
48496,10,37,2,10,-5,10,-5,1542.133056640625
48496,10,36,2,5,-5,5,-5,1543.2330322265625
48496,10,40,2,12.5,-7.5,12.5,-7.5,1543.85302734375
48496,10,44,2,15,-10,15,-10,1544.1920166015625
48496,10,43,2,10,-10,10,-10,1544.3079833984375
48496,10,35,2,10,-1.5,10,-1.5,1544.75
48496,10,46,2,7.5,-12.5,7.5,-12.5,1545.449951171875
48497,1,42,2,-10,15,-10,15,1404.7969970703125
48497,1,39,2,-12.5,17.5,-12.5,17.5,1405.114013671875
48497,1,36,2,-15,20,-15,20,1405.3809814453125
48497,1,38,2,-20,20,-20,20,1405.8470458984375
48497,1,44,2,-20,15,-20,15,1406.1810302734375
48497,1,43,2,-15,15,-15,15,1406.48095703125
48497,1,46,2,-12.5,12.5,-12.5,12.5,1407.06396484375
48497,1,49,2,-15,10,-15,10,1407.3299560546875
48497,1,51,2,-15,6.5,-15,6.5,1407.7459716796875
