subject,level,total_time,total_distance,start_time,rmi
48578,7,183.69061279296875,1955.312828914246,930.96441650390625,0.19146631019210658
48578,8,107.86981201171875,1215.156589694942,822.99200439453125,0.5404741296375403
48578,9,154.7298583984375,1769.6924782221556,668.1456298828125,0.42504562692799064
48578,10,153.680908203125,1717.8185830359675,343.9866943359375,0.5763249611220361
48580,1,150.8590087890625,1637.5283583455323,1091.551025390625,0.4180603274939554
48580,2,91.7569580078125,1035.400273194152,1242.5140380859375,0.7479370584562781
48580,3,128.568603515625,1468.6998731968065,339.2395935058594,0.33734938542058013
48580,4,150.4844970703125,1651.5571218148516,802.1934814453125,0.48523039166365145
48580,5,144.57549285888672,1653.7947764873209,81.08930206298828,0.29310889788821637
48580,6,77.77008056640625,864.8531365445767,467.912109375,0.6428245206932734
48580,7,113.36680603027344,1283.3723353526257,225.76890563964844,0.2903554222181213
48580,8,103.82550048828125,1122.1144977784775,545.786376953125,0.8275304388956644
48580,9,138.66558837890625,1460.0824841457895,952.78240966796875,0.5447619772307528
48580,10,152.37371826171875,1713.104617006949,649.7156982421875,0.4412446123804673
48581,1,166.20699310302734,1921.0410083369504,64.24610137939453,0.3500075694236324
48581,2,122.4110107421875,1350.9530587513561,1099.2679443359375,0.48552824296054076
48581,3,158.17420959472656,1829.1760049530146,230.5695037841797,0.34751063379206404
48581,4,153.69049072265625,1772.8396487634043,945.46051025390625,0.5754114468000358
48581,5,158.0225830078125,1827.2551386851299,388.86029052734375,0.4376448137073541
48581,6,124.259033203125,1307.6220162577874,1221.7939453125,0.45329718942018615
48581,7,130.6103515625,1444.2582089145333,674.72607421875,0.4551245070824912
48581,8,127.6259765625,1455.7114880035751,546.9840087890625,0.424736339957722
48581,9,139.92364501953125,1592.1932258152951,805.4365844726564,0.6003843621676918
48581,10,155.841064453125,1793.9908542102528,1346.1529541015625,0.5734570124929899
48588,1,177.40027618408203,2011.1571590227416,50.14643096923828,0.3689486509152151
48588,4,154.2340087890625,1778.3093175695117,1040.14697265625,0.7161507028645956
48588,8,106.8660888671875,1206.5467938035006,1194.4969482421875,0.5739419052353391
48588,9,158.1170654296875,1829.879601816292,1301.4639892578125,0.6912275763121253
48593,2,111.0145263671875,1265.7027472872787,642.08038330078125,0.4851892919611478
48593,3,148.0806884765625,1649.6822409440508,930.09130859375,0.7466047716406364
48593,4,175.9730224609375,2021.5814081575713,1231.093017578125,0.33611859903619234
48593,5,176.76409912109375,2034.5509953381754,753.211181640625,0.26365474770265607
48593,6,100.21499252319336,1121.624517393502,54.55730056762695,0.3977506212156967
48593,7,152.7139892578125,1701.8834346632743,1078.27197265625,0.49825881741015055
48593,8,116.76507568359375,1332.53656586655,347.3680114746094,0.5065098727359412
48593,9,192.36331176757813,2210.2116309901194,154.88870239257813,0.27639843857689206
48593,10,177.72943115234375,2044.64912486988,464.25048828125,0.3515726685399372
48595,1,145.70980834960938,1681.7021969220884,482.3835144042969,0.4699401183082862
48595,2,87.24621582031239,991.402846666608,740.80450439453125,0.8469317696399405
